date,USD,EUR,KZT,UAH,BYR
2010-10,30.5126,41.4392,0.206746,3.84386,0.010134
2010-11,30.7821,42.7256,0.20865,3.87172,0.01022
2010-12,31.3335,41.0814,0.212229,3.93316,0.010334
2011-01,30.3505,40.4876,0.205829,3.80929,0.010114
2011-02,29.8018,40.5811,0.20272,3.75101,0.009894
2011-03,28.9028,39.8136,0.197992,3.6413,0.009561
2011-04,28.5162,40.3875,0.195672,3.57682,0.009362
2011-05,27.5022,40.8078,0.188863,3.45288,0.009125
2011-06,27.9805,40.2444,0.192405,3.50655,0.005621
2011-07,27.8726,40.4153,0.191105,3.48909,0.005614
2011-08,27.6796,39.5182,0.189139,3.46125,0.005591
2011-09,28.9278,41.7631,0.197338,3.62005,0.005675
2011-10,32.11,43.4191,0.216864,4.01561,0.005693
2011-11,30.1245,42.1833,0.20384,3.76321,0.003544
2011-12,31.4001,41.7559,0.212572,3.91498,0.003651
2012-01,32.1961,41.6714,0.216874,4.00549,0.003856
2012-02,30.3131,39.9678,0.204039,3.7731,0.003622
2012-03,29.0253,39.1029,0.196475,3.63066,0.003597
2012-04,29.3282,39.1707,0.198371,3.65165,0.003634
2012-05,29.3627,38.9203,0.198712,3.65476,0.003648
2012-06,32.9173,40.8076,0.222347,4.07367,0.003942
2012-07,32.8169,41.323,0.219621,4.06225,0.003935
2012-08,32.2058,39.5101,0.21467,3.97735,0.003904
2012-09,32.5669,40.7249,0.21762,4.01095,0.003872
2012-10,30.9169,39.9786,0.205982,3.79442,0.003663
2012-11,31.3743,40.6548,0.208052,3.83643,0.003678
2012-12,30.811,40.0759,0.204697,3.76212,0.003591
2013-01,30.3727,40.2286,0.202107,3.759,0.003534
2013-02,30.0161,40.7138,0.19898,3.69429,0.003478
2013-03,30.5124,40.1024,0.202936,3.74477,0.003542
2013-04,31.0834,39.8023,0.206,3.81626,0.003581
2013-05,31.0433,40.6264,0.205313,3.82189,0.003597
2013-06,31.7979,41.4486,0.209922,3.90446,0.003659
2013-07,32.709,42.718,0.215673,4.01067,0.003721
2013-08,33.033,43.7786,0.215164,4.0676,0.003714
2013-09,33.2474,44.0129,0.216899,4.09325,0.003688
2013-10,32.4839,43.8143,0.211209,3.9658,0.003568
2013-11,32.0758,43.9406,0.208014,3.91765,0.003466
2013-12,33.1916,45.187,0.215663,4.0443,0.00355
2014-01,32.6587,45.0559,0.21176,3.96343,0.003423
2014-02,35.18,47.6408,0.226231,4.1856,0.003642
2014-03,36.1847,49.5839,0.196347,3.38175,0.003694
2014-04,35.6053,48.968,0.195537,3.16492,0.0036
2014-05,35.7227,49.3188,0.196219,3.11989,0.003576
2014-06,34.7352,47.2677,0.189303,2.94366,0.003446
2014-07,33.8434,46.1827,0.184418,2.88029,0.003318
2014-08,35.4438,47.4699,0.19364,2.89692,0.003434
2014-09,36.9316,48.6315,0.20291,2.73567,0.003541
2014-10,39.3836,49.9817,0.216471,3.0412,0.003712
2014-11,41.9627,52.7219,0.232011,3.22728,0.003911
2014-12,49.322,61.4108,0.272542,3.2831,0.004533
2015-01,56.2376,68.3681,0.308143,3.55525,0.003878
2015-02,68.9291,78.1105,0.373711,4.32993,0.00441
2015-03,61.2718,68.6857,0.330663,2.07701,0.004098
2015-04,57.65,62.0487,0.310447,2.45842,0.003922
2015-05,51.1388,57.1578,0.275236,2.40653,0.003584
2015-06,52.9716,58.0145,0.284855,2.5105,0.003561
2015-07,55.8413,62.3803,0.299883,2.65911,0.003658
2015-08,60.3458,66.0002,0.321947,2.85323,0.003965
2015-09,66.7152,74.8478,0.27856,3.06737,0.003839
2015-10,65.7364,73.776,0.242588,3.08549,0.003719
2015-11,64.3742,70.7537,0.229859,2.79281,0.00369
2015-12,66.737,70.6478,0.216996,2.80998,0.003696
2016-01,72.9299,79.6395,0.213821,3.0352,0.003904
2016-02,75.1723,81.9077,0.206961,2.95954,0.00361
2016-03,75.8994,83.1023,0.21701,2.80072,0.003532
2016-04,67.8552,76.9207,0.197414,2.58496,0.003368
2016-05,64.3334,73.3015,0.196618,2.55291,0.003347
2016-06,65.9962,73.4406,0.19654,2.62358,0.003335
2016-07,64.1755,71.2926,0.189448,2.5846,
2016-08,67.0512,74.3799,0.190273,2.70368,
2016-09,65.2535,72.6859,0.191699,2.50013,
2016-10,63.396,70.9338,0.188946,2.44348,
2016-11,63.2174,69.2863,0.188664,2.47911,
2016-12,65.2382,69.3417,0.19092,2.54837,
2017-01,60.6569,63.8111,0.181637,2.23826,
2017-02,60.0851,64.285,0.185743,2.21634,
2017-03,57.9627,61.3883,0.185377,2.13333,
2017-04,55.9606,59.8107,0.178432,2.0707,
2017-05,56.9838,62.044,0.181226,2.14669,
